State,Crop,pH_Min,pH_Max,Soil_Type,Source_Level,Source_URL
North Carolina,Barley,6,6,mineral,State,https://content.ces.ncsu.edu/soil-acidity-and-liming-for-agricultural-soils
North Carolina,Barley,5,5,organic,State,https://content.ces.ncsu.edu/soil-acidity-and-liming-for-agricultural-soils
North Carolina,Corn,6,6,mineral,State,https://content.ces.ncsu.edu/soil-acidity-and-liming-for-agricultural-soils
North Carolina,Corn,5,5,organic,State,https://content.ces.ncsu.edu/soil-acidity-and-liming-for-agricultural-soils
North Carolina,Cotton,6.2,6.2,mineral,State,https://content.ces.ncsu.edu/soil-acidity-and-liming-for-agricultural-soils
North Carolina,Cotton,5,5,organic,State,https://content.ces.ncsu.edu/soil-acidity-and-liming-for-agricultural-soils
North Carolina,Sorghum,6,6,mineral,State,https://content.ces.ncsu.edu/soil-acidity-and-liming-for-agricultural-soils
North Carolina,Sorghum,5,5,organic,State,https://content.ces.ncsu.edu/soil-acidity-and-liming-for-agricultural-soils
North Carolina,Winter Wheat,6,6,mineral,State,https://content.ces.ncsu.edu/soil-acidity-and-liming-for-agricultural-soils
North Carolina,Winter Wheat,5,5,organic,State,https://content.ces.ncsu.edu/soil-acidity-and-liming-for-agricultural-soils
Ohio,Barley,6.3,6.8,both,State,https://stepupsoy.osu.edu/sites/hcs-soy/files/barley%20guide.pdf
Ohio,Corn,6,6.8,both,Region - Tri-State (IN/MI/OH),https://agcrops.osu.edu/FertilityResources/tri-state_info
Ohio,Winter Wheat,6.3,7,both,State,https://agcrops.osu.edu/newsletter/corn-newsletter/2021-30/wheat-management-fall-2021
South Carolina,Barley,6,6.5,both,Region - Southeast (GA/SC/AL/FL),https://extension.uga.edu/publications/detail.html?number=B1190&title=southern-small-grains-resource-management-handbook
South Carolina,Corn,5.8,6.5,both,Region - Southeast (GA/SC/AL/FL),https://extension.uga.edu/publications/detail.html?number=B1190&title=southern-small-grains-resource-management-handbook
South Carolina,Cotton,5.8,6.5,both,Region - Southeast (GA/SC/AL/FL),https://extension.uga.edu/publications/detail.html?number=B1190&title=southern-small-grains-resource-management-handbook
South Carolina,Sorghum,5.8,6.5,both,Region - Southeast (GA/SC/AL/FL),https://extension.uga.edu/publications/detail.html?number=B1190&title=southern-small-grains-resource-management-handbook
South Carolina,Winter Wheat,6,6.5,both,Region - Southeast (GA/SC/AL/FL),https://extension.uga.edu/publications/detail.html?number=B1190&title=southern-small-grains-resource-management-handbook
Illinois,Corn,6,6.5,both,State,http://extension.cropsciences.illinois.edu/handbook/pdfs/chapter08.pdf
Illinois,Sorghum,6,6.5,both,State,http://extension.cropsciences.illinois.edu/handbook/pdfs/chapter08.pdf
Illinois,Winter Wheat,6,6.5,both,State,http://extension.cropsciences.illinois.edu/handbook/pdfs/chapter08.pdf
Iowa,Corn,6,6.5,both,State,https://www.agronext.iastate.edu/soilfertility/info/PM%2016881999.pdf
Iowa,Sorghum,6,6.5,both,State,https://www.agronext.iastate.edu/soilfertility/info/PM%2016881999.pdf
Iowa,Winter Wheat,6,6.5,both,State,https://www.agronext.iastate.edu/soilfertility/info/PM%2016881999.pdf
Iowa,Barley,6,6.5,both,State,https://www.agronext.iastate.edu/soilfertility/info/PM%2016881999.pdf
Missouri,Corn,6,6.5,both,State,https://extension.missouri.edu/publications/g9102
Missouri,Winter Wheat,6,6.5,both,State,https://extension.missouri.edu/publications/g9102
Missouri,Cotton,6,6.5,both,State,https://extension.missouri.edu/programs/cotton-extension/soil-fertility
Missouri,Sorghum,6,6.5,both,State,https://extension.missouri.edu/publications/g9102
Louisiana,Corn,6,6.5,both,State,https://www.cottonfarming.com/feature-story/soil-liming-and-lime-qualities/
Louisiana,Cotton,6,6.5,both,State,https://www.cottonfarming.com/feature-story/soil-liming-and-lime-qualities/
Louisiana,Rice,5,6.5,both,State,https://www.lsuagcenter.com/articles/page1721061518379
Louisiana,Sorghum,5.8,6.5,both,State,https://repository.lsu.edu/cgi/viewcontent.cgi?article=2670&context=gradschool_theses
Louisiana,Winter Wheat,6,6.5,both,State,https://www.lsuagcenter.com/articles/page1721061518379
Oklahoma,Corn,5.5,6.8,both,State,https://sorghumpartners.com/wp-content/uploads/2021/04/OSU-Soil-Test-Interpretations-PSS-2225web.pdf
Oklahoma,Cotton,5.5,6.8,both,State,https://sorghumpartners.com/wp-content/uploads/2021/04/OSU-Soil-Test-Interpretations-PSS-2225web.pdf
Oklahoma,Sorghum,5.5,6.8,both,State,https://sorghumpartners.com/wp-content/uploads/2021/04/OSU-Soil-Test-Interpretations-PSS-2225web.pdf
Oklahoma,Winter Wheat,5.5,6.8,both,State,https://extension.okstate.edu/fact-sheets/managing-acid-soils-for-wheat-production.html
South Dakota,Corn,6,6.5,both,Region - University of Minnesota Extension (not SD-specific),https://extension.umn.edu/liming/lime-needs-minnesota
South Dakota,Sorghum,6,6.5,both,Region - University of Minnesota Extension (not SD-specific),https://extension.umn.edu/liming/lime-needs-minnesota
South Dakota,Winter Wheat,6,6.5,both,Region - University of Minnesota Extension (not SD-specific),https://extension.umn.edu/crop-specific-needs/fertilizing-wheat-minnesota
South Dakota,Barley,6,6.5,both,Region - University of Minnesota Extension (not SD-specific),https://extension.umn.edu/crop-specific-needs/fertilizing-barley
South Dakota,Spring Wheat,6,6.5,both,Region - University of Minnesota Extension (not SD-specific),https://extension.umn.edu/crop-specific-needs/fertilizing-wheat-minnesota
New York,Corn,6,6.2,both,State,http://nmsp.cals.cornell.edu/publications/factsheets/factsheet48.pdf
New York,Barley,6.4,6.5,both,State,http://nmsp.cals.cornell.edu/publications/factsheets/factsheet48.pdf
New York,Winter Wheat,6.4,6.5,both,State,http://nmsp.cals.cornell.edu/publications/factsheets/factsheet48.pdf
New York,Sorghum,6,6.2,both,State,http://nmsp.cals.cornell.edu/publications/factsheets/factsheet48.pdf
New York,Spring Wheat,6.4,6.5,both,State,http://nmsp.cals.cornell.edu/publications/factsheets/factsheet48.pdf
Pennsylvania,Corn,6,7,both,State,https://extension.psu.edu/soil-acidity-and-aglime
Pennsylvania,Barley,6.5,7,both,State,https://extension.psu.edu/soil-acidity-and-aglime
Pennsylvania,Winter Wheat,6,7,both,State,https://extension.psu.edu/soil-acidity-and-aglime
Pennsylvania,Sorghum,6,7,both,State,https://extension.psu.edu/soil-acidity-and-aglime
Virginia,Corn,6.2,6.5,both,State,https://ext.vt.edu/content/pubs_ext_vt_edu/en/SPES/SPES-298/SPES-298.html
Virginia,Cotton,6.2,6.5,both,State,https://ext.vt.edu/content/pubs_ext_vt_edu/en/SPES/SPES-298/SPES-298.html
Virginia,Barley,6.2,6.5,both,State,https://ext.vt.edu/content/pubs_ext_vt_edu/en/SPES/SPES-298/SPES-298.html
Virginia,Sorghum,6.2,6.5,both,State,https://ext.vt.edu/content/pubs_ext_vt_edu/en/SPES/SPES-298/SPES-298.html
Virginia,Winter Wheat,6.2,6.5,both,State,https://ext.vt.edu/content/pubs_ext_vt_edu/en/SPES/SPES-298/SPES-298.html
Wisconsin,Corn,6,6.8,mineral,State,https://cropsandsoils.extension.wisc.edu/articles/high-ph-soils-in-wisconsin-what-you-need-to-know/
Wisconsin,Corn,5.6,5.6,organic,State,https://cropsandsoils.extension.wisc.edu/files/2024/07/Table-4.2.pdf
Wisconsin,Winter Wheat,6,6,mineral,State,https://cropsandsoils.extension.wisc.edu/articles/soil-fertility-overview-for-small-grain-production-in-wisconsin-a-one-stop-shop/
Wisconsin,Winter Wheat,5.6,5.6,organic,State,https://cropsandsoils.extension.wisc.edu/files/2024/07/Table-4.2.pdf
Wisconsin,Barley,6.6,6.6,mineral,State,https://cropsandsoils.extension.wisc.edu/files/2024/07/Table-4.2.pdf
Wisconsin,Barley,5.6,5.6,organic,State,https://cropsandsoils.extension.wisc.edu/files/2024/07/Table-4.2.pdf
Wisconsin,Sorghum,5.6,5.6,mineral,State,https://cropsandsoils.extension.wisc.edu/files/2024/07/Table-4.2.pdf
Wisconsin,Sorghum,5.4,5.4,organic,State,https://cropsandsoils.extension.wisc.edu/files/2024/07/Table-4.2.pdf
